pond,treatment,depth_m,temp_C,DO_mg_L
1,hybrid,0,10.3,9.1
1,hybrid,0.5,10.2,8.9
1,hybrid,1,10.3,8.6
1,hybrid,1.5,10.3,9.2
1,hybrid,2,10.2,9.2
1,hybrid,2.5,10.2,9.2
1,hybrid,3,10.3,8.9
1,hybrid,3.5,10.3,8.6
1,hybrid,4,10.3,7.2
1,hybrid,4.5,10.3,6.4
4,no fish,0,10.2,10.41
4,no fish,0.5,10.3,9.88
4,no fish,1,10.2,9.3
4,no fish,1.5,10.3,9.96
4,no fish,2,10.2,9.2
4,no fish,2.5,10.2,9.02
4,no fish,3,10.2,9.38
4,no fish,3.5,11,2.24
3,hybrid and marine,0,10.4,9.2
3,hybrid and marine,0.5,10.4,9.2
3,hybrid and marine,1,10.4,9.1
3,hybrid and marine,1.5,10.4,9.4
3,hybrid and marine,2,10.5,9.5
3,hybrid and marine,2.5,10.6,9.3
3,hybrid and marine,3,10.7,9.3
3,hybrid and marine,3.5,10.7,8.9
3,hybrid and marine,4,10.7,8.5
6,hybrid and marine,0,10.8,9.9
6,hybrid and marine,0.5,10.9,9.5
6,hybrid and marine,1,10.9,7.4
6,hybrid and marine,1.5,10.9,9.1
6,hybrid and marine,2,11,8
6,hybrid and marine,2.5,11.9,2.7
6,hybrid and marine,3,11.8,3
6,hybrid and marine,3.5,11.7,3.3
6,hybrid and marine,4,11.6,4
2,no fish,0,10.4,10.9
2,no fish,0.5,10.4,9.72
2,no fish,1,10.4,9.5
2,no fish,1.5,10.3,10.3
2,no fish,2,10.26,10.3
2,no fish,2.5,10.3,10.62
2,no fish,3,10.3,10.8
2,no fish,3.5,10.3,10.9
2,no fish,4,10.3,10.8
5,hybrid,0,10.7,9.9
5,hybrid,0.5,10.8,10.3
5,hybrid,1,10.7,10.4
5,hybrid,1.5,10.7,9.7
5,hybrid,2,10.8,10.5
5,hybrid,2.5,10.9,9.9
5,hybrid,3,10.9,9.9
5,hybrid,3.5,10.9,10.2
5,hybrid,4,10.9,10.2
