pond,treatment,sample_loc,sample_total_mL,tow_volume_L,percent_sampled,volume_processed_mL,taxa,size,count,density_count_per_L
1,hybrid,DE Vert,95,70.3,21.1,20,Copepod,0.51-0.75,2,0.13513513513513514
1,hybrid,DE Vert,95,70.3,21.1,20,Copepod,0.76-1,3,0.20270270270270271
1,hybrid,DE Vert,95,70.3,21.1,20,Copepod,1.1-1.5,2,0.13513513513513514
1,hybrid,DE Vert,95,70.3,21.1,20,Mosquito Larvae,0.51-0.75,2,0.13513513513513514
1,hybrid,DE Vert,95,70.3,21.1,20,Mosquito Larvae,0.76-1,2,0.13513513513513514
1,hybrid,DE Vert,95,70.3,21.1,20,Mosquito Larvae,1.1-1.5,3,0.20270270270270271
1,hybrid,DE Vert,95,70.3,21.1,20,Mosquito Larvae,1.6-2,4,0.2702702702702703
1,hybrid,DE Vert,95,70.3,21.1,20,Cladoceran,<0.5,10,0.6756756756756757
1,hybrid,DE Vert,95,70.3,21.1,20,Cladoceran,0.51-0.75,15,1.0135135135135136
1,hybrid,DE Vert,95,70.3,21.1,20,Cladoceran,0.76-1,11,0.7432432432432434
1,hybrid,DE Vert,95,70.3,21.1,20,Chironomid,0.76-1,1,0.06756756756756757
1,hybrid,DE Vert,95,70.3,21.1,20,Chironomid,1.1-1.5,10,0.6756756756756757
1,hybrid,DE Vert,95,70.3,21.1,20,Chironomid,1.6-2,7,0.47297297297297297
1,hybrid,DE Vert,95,70.3,21.1,20,Rotifer,<0.5,15,1.0135135135135136
1,hybrid,DE Vert,95,70.3,21.1,20,Rotifer,0.51-0.75,1,0.06756756756756757
1,hybrid,DES,47.5,502.4,24.2,11.5,Copepod,<0.5,4,0.03288562725006923
1,hybrid,DES,47.5,502.4,24.2,11.5,Copepod,0.51-0.75,6,0.049328440875103845
1,hybrid,DES,47.5,502.4,24.2,11.5,Copepod,0.76-1,3,0.024664220437551922
1,hybrid,DES,47.5,502.4,24.2,11.5,Daphnia,<0.5,16,0.13154250900027692
1,hybrid,DES,47.5,502.4,24.2,11.5,Daphnia,1.1-1.5,1,0.008221406812517307
1,hybrid,DES,47.5,502.4,24.2,11.5,Mosquito Larvae,0.76-1,1,0.008221406812517307
1,hybrid,DES,47.5,502.4,24.2,11.5,Mosquito Larvae,1.6-2,2,0.016442813625034615
1,hybrid,DES,47.5,502.4,24.2,11.5,Chaoborus,1.6-2,1,0.008221406812517307
1,hybrid,DES,47.5,502.4,24.2,11.5,Cladoceran,<0.5,2,0.016442813625034615
1,hybrid,DES,47.5,502.4,24.2,11.5,Cyclopoid,0.51-0.75,1,0.008221406812517307
1,hybrid,DES,47.5,502.4,24.2,11.5,Rotifer,<0.5,1450,11.921039878150097
1,hybrid,DES,47.5,502.4,24.2,11.5,Nauplis,<0.5,15,0.12332110218775963
1,hybrid,SES,52.5,502.4,22.9,12,Copepod,<0.5,3,0.02612460191082803
1,hybrid,SES,52.5,502.4,22.9,12,Copepod,0.51-0.75,3,0.02612460191082803
1,hybrid,SES,52.5,502.4,22.9,12,Daphnia,0.76-1,2,0.01741640127388535
1,hybrid,SES,52.5,502.4,22.9,12,Chaoborus,0.76-1,4,0.0348328025477707
1,hybrid,SES,52.5,502.4,22.9,12,Calanoid,0.76-1,6,0.05224920382165606
1,hybrid,SES,52.5,502.4,22.9,12,Cladoceran,<0.5,12,0.10449840764331211
1,hybrid,SES,52.5,502.4,22.9,12,Cladoceran,0.51-0.75,2,0.01741640127388535
1,hybrid,SES,52.5,502.4,22.9,12,Chironomid,0.51-0.75,2,0.01741640127388535
1,hybrid,SES,52.5,502.4,22.9,12,Chironomid,1.1-1.5,1,0.008708200636942675
1,hybrid,SES,52.5,502.4,22.9,12,Rotifer,<0.5,1650,14.368531050955415
1,hybrid,SES,52.5,502.4,22.9,12,Insects,1.1-1.5,1,0.008708200636942675
1,hybrid,SES,52.5,502.4,22.9,12,Nauplis,<0.5,16,0.1393312101910828
1,hybrid,SES,52.5,502.4,22.9,12,Bosmina,<0.5,1,0.008708200636942675
1,hybrid,SES,52.5,502.4,22.9,12,Bosmina,0.76-1,8,0.0696656050955414
2,no fish,DE Vert,51,157,44.1,22.5,Daphnia,0.51-0.75,1,0.014437367303609342
2,no fish,DE Vert,51,157,44.1,22.5,Daphnia,0.76-1,18,0.2598726114649682
2,no fish,DE Vert,51,157,44.1,22.5,Mosquito Larvae,1.6-2,1,0.014437367303609342
2,no fish,DE Vert,51,157,44.1,22.5,Chaoborus,0.76-1,4,0.05774946921443737
2,no fish,DE Vert,51,157,44.1,22.5,Chaoborus,1.1-1.5,1,0.014437367303609342
2,no fish,DE Vert,51,157,44.1,22.5,Chaoborus,1.6-2,1,0.014437367303609342
2,no fish,DE Vert,51,157,44.1,22.5,Calanoid,0.76-1,3,0.04331210191082802
2,no fish,DE Vert,51,157,44.1,22.5,Diaphanosoma,0.76-1,1,0.014437367303609342
2,no fish,DE Vert,51,157,44.1,22.5,Cyclopoid,0.51-0.75,1,0.014437367303609342
2,no fish,DES,47.5,628,36.8,17.5,Copepod,<0.5,4,0.017288444040036398
2,no fish,DES,47.5,628,36.8,17.5,Copepod,0.51-0.75,2,0.008644222020018199
