pond,treatment,location,copepod,daphnia,mosquito_larvae,chaoborus,calanoid,diaphanosoma,cladoceran,chironomid,cyclopoid,rotifer,ostracod,insects,chydorid,gastropod,simocephalus,nauplis,nauplii,karatella,bosmina,arthropod,midge,crustaceans,mite,processed_sample_mL,total_sample_mL,tow_volume_L,percent_sampled
1,hybrid,DE vert,4,0,0,0,0,0,18,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,95,70.3,11.6
1,hybrid,DES,8,0,2,0,0,0,2,0,0,1300,0,0,0,0,0,14,0,0,0,0,0,0,0,7.5,47.5,502.4,15.8
1,hybrid,SES,3,0,0,4,0,0,13,3,0,1650,0,0,0,0,0,0,16,0,1,0,0,0,0,7,52.5,502.4,13.3
2,no fish,DE vert,0,19,3,7,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,51,157,44.1
2,no fish,DES,5,10,0,1,0,23,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,47.5,628,36.8
2,no fish,SES,0,41,2,0,0,0,0,6,0,35,0,0,0,0,1,13,0,0,0,0,0,0,0,36.5,50,628,73
3,hybrid and marine,DE vert,0,44,0,0,0,0,3,33,0,0,13,3,2,3,1,1,0,0,0,0,0,0,0,39,249.5,157,15.6
3,hybrid and marine,DES,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15,55,439.6,27.3
3,hybrid and marine,SES,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,101,439.6,43.6
4,no fish,DE vert,1,0,0,2,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,70.3,12
4,no fish,DES,0,0,0,0,0,0,301,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,43,502.4,20.9
4,no fish,SES,126,0,0,7,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,43,502.4,54.7
5,hybrid,DE vert,80,0,10,0,0,0,25,3,0,0,0,13,0,0,0,0,0,0,0,0,4,6,0,51,98,157,52
5,hybrid,DES,43,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,43,150,57,2,0,0,0,8,47.5,628,16.8
5,hybrid,SES,10,8,0,4,12,0,16,7,0,0,0,0,0,0,6,3,0,0,22,0,0,0,0,72.95,85,628,85.8
6,hybrid and marine,DE vert,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,hybrid and marine,DES,11,2,3,0,0,0,0,1,0,4,1,0,0,0,0,4,0,0,0,0,0,0,0,48.8,175,861.6,27.9
6,hybrid and marine,SES,1,1,2,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,1,38,147.5,861.6,25.8
