plot,trt_density,trt,date_marked,date_collected,shoot,growth_days,shoot_length,shoot_width,sheath_length,sheath_width,ref_length,no_blades,repro,lf1_full,lf1_new,lf2_full,lf2_new,lf3_full,lf3_new,lf4_full,lf4_new,lf5_full,lf5_new,lf6_full,lf6_new,lf7_full,lf7_new,lf8_full,lf8_new,lf9_full,lf9_new,bblf_1,bblf_2,bblf_3,shoot_wet_wt,foil_wt,shoot_dry_wt,shoot_biomass,total_lf_ext,rgr,rgr_d,internode1,internode2,internode3,internode4,internode5,internode6,internode7,internode8,internode9,internode10,internode11,internode12,internode13,internode14,internode15,internode16,internode17,internode18,internode19,internode20,internode21,internode22,internode23
1,low,control,05-Sep-25,16-Sep-25,1,11,49.5,0.4,13.2,0.4,5.8,5,No,21.1,18.8,47.8,13.3,44.5,0.6,39.5,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,4.5,3.2,0.78,,32.7,2.48,0.23,0.5,1,0.6,0.7,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,low,control,05-Sep-25,16-Sep-25,3,11,76,0.7,18.2,0.7,9.2,5,No,46.3,43.1,59.6,34.9,69.7,8.5,48,1,24.6,0.1,0,0,0,0,0,0,0,0,0,0,0,4,0.9,,,87.6,4.84,0.4,1.3,1,1.2,1.1,0.9,1,1,1.4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,low,exp,05-Sep-25,16-Sep-25,1,11,69.4,0.5,13.8,0.5,10,5,No,14.1,14.1,46.8,32.9,60.6,14.4,27.1,0,52.9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,61.4,4.45,0.4,0.5,0.4,0.6,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,low,exp,05-Sep-25,16-Sep-25,3,11,88.9,0.7,23,0.7,6,6,No,82.1,10.2,83.1,0.8,72.1,35.4,72.1,0,42.7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,46.4,2.02,0.18,1.3,1.2,1,1.3,1.5,1.5,1.7,1.5,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,low,exp,05-Sep-25,16-Sep-25,2,11,89.7,0.8,21.4,0.8,5,9,No,27.5,27.5,29,18.9,18.7,3.7,39.9,38.2,84.7,40.7,92.5,14.7,85.2,0,52.3,0,75.4,0,0,0,0,,,3.2,,143.7,6.71,0.61,2.5,2.3,2.5,2,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,high,control,05-Sep-25,16-Sep-25,1,11,55.1,0.6,14.5,0.6,6.7,3,no,12.2,2.1,9.3,1.9,51,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,1.1,3.41,2.31,7.2,0.5,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,high,control,05-Sep-25,16-Sep-25,3,11,68.8,0.7,17.2,0.7,9.7,4,no,31.4,4.6,51.3,3.1,58.8,0.6,59.7,0,0,0,0,0,0,0,0,0,0,0,7.7,6.3,5.2,5.9,1.2,5.5,4.3,8.3,0.48,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,high,control,05-Sep-25,16-Sep-25,2,11,79,0.7,18.7,0.6,10.1,4,no,22.3,2.7,55.7,6.6,60.4,0.2,65.1,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,5.7,1.2,5,3.8,9.5,0.51,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,low,exp,05-Sep-25,16-Sep-25,3,11,75,0.6,18.6,0.8,9.5,4,no,22.7,16.2,64.4,21,55.9,7.7,49.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,1.1,,,44.9,2.41,0.22,1.1,1.1,1.3,1.2,1.7,0.9,0.8,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,low,exp,05-Sep-25,16-Sep-25,4,11,76.9,0.8,16.4,0.8,7.8,5,no,37.5,26.7,64.4,15.2,69.3,2,62.5,0,0,0,0,0,0,0,0,0,0,0,13.3,0,0,7.4,1.3,,,43.9,2.68,0.24,1,1.3,1.6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
