plot,trt_density,trt,notes,epi_shoot_length,epi_shoot_sheath,epi_shoot_width,epi_shoot_no_blades,epi_shoot_foil_wt,epi_shoot_wet_wt,epi_shoot_dry_wt,epi_biomass,vol_filtered_sept_16,total_volume,sample_vol_filt,perc_total_sample_vol,acetone_vol_filtered,sample_vol_entered,acetone_vol_entered,sum_checking,chla_avg,chla_shoot_calc,,,,,,,
1,low,control,,86.20,19.5,0.7,6.00,1.1,115.00,1.12,0.02,44.00,500.00,47.00,8.80,10.00,0.05,1.95,2.00,136.65,310.5681818,,,,,,,
2,low,exp,,67.60,9.5,0.7,5.00,1.2,5.5,1.75,0.55,50.00,500.00,50.00,10.00,10.00,0.05,1.95,2.00,122.75,245.5,,,,,,,
3,high,control,,106.5,26.4,0.8,4.00,2.6,6.6,,,50.00,500.00,50.00,10.00,10.00,0.05,1.95,2.00,68.56,137.12,,,,,,,
4,low,exp,,82.7,18.5,0.8,5.00,0.9,6.8,1.77,0.87,50.00,500.00,50.00,10.00,10.00,0.1,1.9,2.00,61.295,61.295,,,,,,,
5,high,exp,,110.4,26.6,0.5,6.00,1.3,10.7,2.486,1.19,50.00,60.00,50.00,10.00,10.00,0.05,1.95,2.00,102.1,204.2,,,,,,,
6,high,exp,,114.00,8.00,0.5,5.00,3.00,10.5,4.061,1.06,25.00,500.00,25.00,5.00,10.00,0.05,1.95,2.00,123.65,494.6,,,,,,,
7,low,exp,,85.1,7.4,0.5,5.00,2.5,5.8,,,12.5,125.00,12.5,10.00,10.00,0.5,1.5,2.00,60.71,12.142,,,,,,,
8,low,exp,,119.1,28.4,0.7,5.00,2.6,10.9,,,50.00,500.00,50.00,10.00,10.00,0.1,1.9,2.00,88.58,88.58,,,,,,,
9,low,exp,Ali,103.5,22.8,0.5,4.00,2.6,,3.63,1.03,50.00,500.00,50.00,10.00,10.00,0.05,1.95,2.00,90.03,180.06,,,,,,,
10,high,control,weights on foil,97.3,26.00,0.6,5.00,,,,,30.00,300.00,30.00,10.00,10.00,0.05,1.95,2.00,166.9,333.8,,,,,,,
11,high,control,tra mi ,,,,,,,1.68,1.68,,,42.00,8.4,10.00,0.05,1.95,2.00,235.1,559.7619048,,,,,,,
12,high,exp,dry weight too light,54.00,9.00,0.7,6.00,0.7,3.7,1.2,,30.00,300.00,30.00,10.00,10.00,0.1,1.9,2.00,84.16,84.16,,,,,,,
13,high,control,,110.00,17.00,0.8,5.00,2.3,13.5,3.742,3.04,30.00,300.00,40.00,10.00,10.00,0.05,1.95,2.00,54.035,108.07,,,,,,,
14,high,control,,95.4,25.4,0.7,6.00,2.1,8.2,0.89,,50.00,500.00,50.00,10.00,10.00,0.1,1.9,2.00,110.6,110.6,,,,,,,
15,high,exp,,62.1,19.00,0.6,5.00,1.2,4.3,1.639,0.44,50.00,500.00,50.00,10.00,10.00,0.1,1.9,2.00,83.89,83.89,,,,,,,
16,low,control,,57.6,15.00,0.5,5.00,1.9,4.5,2.29,0.39,50.00,500.00,50.00,10.00,10.00,0.5,1.5,2.00,115.35,23.07,,,,,,,
17,high,control,lucas I guessed,120.6,4.8,0.9,5.00,4.8,24.8,6.72,1.92,37.00,550.00,37.00,6.7,10.00,0.05,1.95,2.00,243.00,725.3731343,,,,,,,
18,high,exp,,78.4,20.00,0.6,4.00,2.6,7.5,3.408,0.81,50.00,500.00,50.00,10.00,10.00,0.1,1.9,2.00,72.85,72.85,,,,,,,
19,low,control,TA weighed?,70.00,17.6,0.7,6.00,,,,,,200.00,20.00,10.00,10.00,0.05,1.95,2.00,166.9,333.8,,,,,,,
20,low,control,TA weighed,,,,,,,,,,,,,10.00,0.05,1.95,2.00,53.42,,,,,,,,
21,low,control,bag 1004,79.00,18.6,0.7,5.00,1.2,7.4,,,0.6,300.00,18.00,6.00,10.00,0.05,1.95,2.00,101.59,338.6333333,,,,,,,
22,high,exp,,127.1,23.3,0.6,5.00,2.3,10.7,3.519,1.22,15.00,500.00,15.00,3.00,10.00,0.1,1.9,2.00,77.59,258.6333333,,,,,,,
23,low,control,bag 702,43.6,10.5,0.6,4.00,1.2,2.9,,,50.00,500.00,50.00,10.00,10.00,0.1,1.9,2.00,40.15,40.15,,,,,,,
24,low,exp,TA,114.4,10.2,0.6,5.00,2.9,18.00,4.107,1.21,13.00,,,,10.00,0.05,1.95,2.00,262.8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
