"","Pl.no","mean_temp","mean_lux","Treatment","Trt_density","Trt.comb"
"1","1",16.133373549884,2868.48352668213,"low","control","control_low"
"2","2",15.7287331887202,4027.12125813449,"low","exp","exp_low"
"3","3",15.8299287410926,2805.58456057007,"high","control","control_high"
"4","4",15.9040829694323,2158.08013100437,"low","exp","exp_low"
"5","6",15.8058165548098,1804.47315436242,"high","exp","exp_high"
"6","7",16.0902735229759,6199.02866520788,"low","exp","exp_low"
"7","8",15.8686407982262,1800.92572062084,"low","exp","exp_low"
"8","9",15.8410788288288,1959.18603603604,"low","exp","exp_low"
"9","10",15.9831480637813,795.774031890661,"high","control","control_high"
"10","11",16.0759004424779,4387.16924778761,"high","control","control_high"
"11","12",15.8604444444444,2032.61668686869,"high","exp","exp_high"
"12","13",15.8748670756646,1155.78433537832,"high","control","control_high"
"13","14",15.8074691358025,1640.4812345679,"high","control","control_high"
"14","15",15.6175869120654,1193.9818609407,"high","exp","exp_high"
"15","16",15.6821936758893,2012.13288537549,"low","control","control_low"
"16","18",15.7304590818363,762.866347305389,"high","exp","exp_high"
"17","19",16.0275099337748,4951.84922737307,"low","control","control_low"
"18","23",15.8707692307692,4206.32522682446,"low","control","control_low"
