plot,Treament,Trt_density,sept_5_density1,sept_5_density_exp,sept_6_density,sept_6_quadrat,sept_6_zj,sept_6_macro,sept_6_detritus,sept_16_density,sept_16_macro,sept_16_detritus,sept_16_zj
1,low,control,50,50,29,9,1,35,18,23,40,11,1
2,low,exp,82,50,56,15,0,1,12,97,0,45,0
3,high,control,105,105,111,33,0,2,5,163,0,8,1
4,low,exp,80,50,48,14,0,3,10,70,10,40,0
5,high,exp,120,90,101,25,0,0,20,72,0,50,0
6,high,exp,100,90,49,8,1,5,16,132,0,5,1
7,low,exp,90,50,65,13,0,5,10,52,10,20,0
8,low,exp,83,50,57,22,1,8,5,56,6,15,1
9,low,exp,88,50,24,8,0,0,5,27,4,3,0
10,high,control,100,120,101,27,0,15,15,86,20,20,0
11,high,control,100,100,77,18,0,3,15,52,1,10,1
12,high,exp,100,90,78,29,0,0,6,119,0,50,0
13,high,control,160,160,,,,,,57,4,18,1
14,high,control,146,146,112,43,0,0,5,77,0,0,0
15,high,exp,146,90,54,18,0,5,2,68,0,0,0
16,low,control,72,72,52,15,0,0,0,69,0,20,1
17,high,control,120,120,,,,,,45,5,20,0
18,high,exp,100,90,101,27,0,0,20,56,4,6,0
19,low,control,32,32,26,8,0,12,2,43,5,40,1
20,low,control,62,62,48,14,0,0,0,71,0.1,1,0
21,low,control,40,40,38,10,1,0,5,35,0,3,0
22,high,exp,136,90,53,15,0,0,5,44,0,8,0
23,low,control,48,48,45,11,0,0,10,49,20,50,1
24,low,exp,92,50,54,12,0,0,0,57,0,0,0
