"","plot","Trt.comb","sept_5_density1","sept_5_density_exp","sept_6_density1","sept_6_densityF","sept_6_quadrat","sept_6_zj","sept_6_macro","sept_6_detritus","sept_16_density","sept_16_macro","sept_16_detritus","sept_16_zj","density_diff"
"1",1,"control_low",50,50,29,29,9,1,35,18,23,40,11,1,-6
"2",2,"exp_low",82,50,56,56,15,0,1,12,97,0,45,0,41
"3",3,"control_high",105,105,111,111,33,0,2,5,163,0,8,1,52
"4",4,"exp_low",80,50,48,48,14,0,3,10,70,10,40,0,22
"5",5,"exp_high",120,90,101,101,25,0,0,20,72,0,50,0,-29
"6",6,"exp_high",100,90,42,49,8,1,5,16,132,0,5,1,83
"7",7,"exp_low",90,50,65,65,13,0,5,10,52,10,20,0,-13
"8",8,"exp_low",83,50,74,57,22,1,8,5,56,6,15,1,-1
"9",9,"exp_low",88,50,24,24,8,0,0,5,27,4,3,0,3
"10",10,"control_high",100,120,101,101,27,0,15,15,86,20,20,0,-15
"11",11,"control_high",100,100,77,77,18,0,3,15,52,1,10,1,-25
"12",12,"exp_high",100,90,78,78,29,0,0,6,119,0,50,0,41
"13",13,"control_high",160,160,NA,NA,NA,NA,NA,NA,57,4,18,1,NA
"14",14,"control_high",146,146,112,112,43,0,0,5,77,0,0,0,-35
"15",15,"exp_high",146,90,54,54,18,0,5,2,68,0,0,0,14
"16",16,"control_low",72,72,52,52,15,0,0,0,69,0,20,1,17
"17",17,"control_high",120,120,NA,NA,NA,NA,NA,NA,45,5,20,0,NA
"18",18,"exp_high",100,90,101,101,27,0,0,20,56,4,6,0,-45
"19",19,"control_low",32,32,26,26,8,0,12,2,43,5,40,1,17
"20",20,"control_low",62,62,48,48,14,0,0,0,71,0.1,1,0,23
"21",21,"control_low",40,40,38,38,10,1,0,5,35,0,3,0,-3
"22",22,"exp_high",136,90,53,53,15,0,0,5,44,0,8,0,-9
"23",23,"control_low",48,48,45,45,11,0,0,10,49,20,50,1,4
"24",24,"exp_low",92,50,54,54,12,0,0,0,57,0,0,0,3
