plot,time,temp,lux,treatment
1,9/6/2025 0:00,17.284,0,control_low
1,9/6/2025 0:15,17.284,0,control_low
1,9/6/2025 0:30,17.284,0,control_low
1,9/6/2025 0:45,17.284,0,control_low
1,9/6/2025 1:00,17.379,0,control_low
1,9/6/2025 1:15,17.379,0,control_low
1,9/6/2025 1:30,17.379,0,control_low
1,9/6/2025 1:45,17.379,0,control_low
1,9/6/2025 2:00,17.475,0,control_low
1,9/6/2025 2:15,17.475,0,control_low
1,9/6/2025 2:30,17.475,0,control_low
1,9/6/2025 2:45,17.475,0,control_low
1,9/6/2025 3:00,17.475,0,control_low
1,9/6/2025 3:15,17.475,0,control_low
1,9/6/2025 3:30,17.475,0,control_low
1,9/6/2025 3:45,17.475,0,control_low
1,9/6/2025 4:00,17.475,0,control_low
1,9/6/2025 4:15,17.475,0,control_low
1,9/6/2025 4:30,17.57,0,control_low
1,9/6/2025 4:45,17.665,0,control_low
1,9/6/2025 5:00,17.665,0,control_low
1,9/6/2025 5:15,17.665,0,control_low
1,9/6/2025 5:30,17.665,0,control_low
1,9/6/2025 5:45,17.665,0,control_low
1,9/6/2025 6:00,17.665,0,control_low
1,9/6/2025 6:15,17.665,0,control_low
1,9/6/2025 6:30,17.57,0,control_low
1,9/6/2025 6:45,17.57,21.5,control_low
1,9/6/2025 7:00,17.57,107.6,control_low
1,9/6/2025 7:15,17.475,215.3,control_low
1,9/6/2025 7:30,17.475,441.3,control_low
1,9/6/2025 7:45,17.379,581.3,control_low
1,9/6/2025 8:00,17.379,882.6,control_low
1,9/6/2025 8:15,17.475,1205.6,control_low
1,9/6/2025 8:30,17.475,1550,control_low
1,9/6/2025 8:45,17.57,2755.6,control_low
1,9/6/2025 9:00,17.76,2497.2,control_low
1,9/6/2025 9:15,17.95,5338.9,control_low
1,9/6/2025 9:30,18.331,8266.7,control_low
1,9/6/2025 9:45,18.806,24800.2,control_low
1,9/6/2025 10:00,18.711,24800.2,control_low
1,9/6/2025 10:15,20.043,37200.2,control_low
1,9/6/2025 10:30,20.805,74400.5,control_low
1,9/6/2025 10:45,21.473,74400.5,control_low
1,9/6/2025 11:00,20.234,42711.4,control_low
1,9/6/2025 11:15,21.855,60622.6,control_low
1,9/6/2025 11:30,26,93689.5,control_low
1,9/6/2025 11:45,26.781,93689.5,control_low
1,9/6/2025 12:00,25.805,66133.8,control_low
1,9/6/2025 12:15,27.665,82667.2,control_low
1,9/6/2025 12:30,27.961,85422.8,control_low
1,9/6/2025 12:45,29.252,88178.4,control_low
1,9/6/2025 13:00,29.252,88178.4,control_low
1,9/6/2025 13:15,29.953,82667.2,control_low
1,9/6/2025 13:30,22.812,17222.3,control_low
1,9/6/2025 13:45,20.138,5511.1,control_low
1,9/6/2025 14:00,19.472,5166.7,control_low
1,9/6/2025 14:15,18.996,2411.1,control_low
1,9/6/2025 14:30,18.521,1808.3,control_low
1,9/6/2025 14:45,18.14,1108.7,control_low
1,9/6/2025 15:00,18.045,1313.2,control_low
1,9/6/2025 15:15,17.855,1550,control_low
1,9/6/2025 15:30,17.95,2669.5,control_low
1,9/6/2025 15:45,17.855,1054.9,control_low
1,9/6/2025 16:00,17.855,473.6,control_low
1,9/6/2025 16:15,17.855,118.4,control_low
1,9/6/2025 16:30,17.855,53.8,control_low
1,9/6/2025 16:45,17.855,43.1,control_low
1,9/6/2025 17:00,17.855,64.6,control_low
1,9/6/2025 17:15,17.855,118.4,control_low
1,9/6/2025 17:30,17.76,96.9,control_low
1,9/6/2025 17:45,17.76,75.3,control_low
1,9/6/2025 18:00,17.665,43.1,control_low
1,9/6/2025 18:15,17.665,43.1,control_low
1,9/6/2025 18:30,17.665,43.1,control_low
1,9/6/2025 18:45,17.665,21.5,control_low
1,9/6/2025 19:00,18.045,10.8,control_low
1,9/6/2025 19:15,17.855,0,control_low
1,9/6/2025 19:30,17.57,0,control_low
1,9/6/2025 19:45,17.094,0,control_low
1,9/6/2025 20:00,16.903,0,control_low
1,9/6/2025 20:15,16.903,0,control_low
1,9/6/2025 20:30,16.713,0,control_low
1,9/6/2025 20:45,16.713,0,control_low
1,9/6/2025 21:00,16.713,0,control_low
1,9/6/2025 21:15,16.618,0,control_low
1,9/6/2025 21:30,16.618,0,control_low
1,9/6/2025 21:45,16.618,0,control_low
1,9/6/2025 22:00,16.618,0,control_low
1,9/6/2025 22:15,16.618,0,control_low
1,9/6/2025 22:30,16.618,0,control_low
1,9/6/2025 22:45,16.618,0,control_low
1,9/6/2025 23:00,16.618,0,control_low
1,9/6/2025 23:15,16.618,0,control_low
1,9/6/2025 23:30,16.618,0,control_low
1,9/6/2025 23:45,16.618,0,control_low
1,9/7/2025 0:00,16.618,0,control_low
1,9/7/2025 0:15,16.618,0,control_low
1,9/7/2025 0:30,16.618,0,control_low
1,9/7/2025 0:45,16.713,0,control_low
1,9/7/2025 1:00,16.713,0,control_low
1,9/7/2025 1:15,16.999,0,control_low
1,9/7/2025 1:30,16.999,0,control_low
1,9/7/2025 1:45,16.999,0,control_low
1,9/7/2025 2:00,16.999,0,control_low
1,9/7/2025 2:15,16.999,0,control_low
1,9/7/2025 2:30,16.999,0,control_low
1,9/7/2025 2:45,16.903,0,control_low
1,9/7/2025 3:00,16.903,0,control_low
1,9/7/2025 3:15,16.903,0,control_low
1,9/7/2025 3:30,16.808,0,control_low
1,9/7/2025 3:45,16.808,0,control_low
1,9/7/2025 4:00,16.618,0,control_low
1,9/7/2025 4:15,16.618,0,control_low
1,9/7/2025 4:30,16.523,0,control_low
1,9/7/2025 4:45,16.523,0,control_low
1,9/7/2025 5:00,16.427,0,control_low
1,9/7/2025 5:15,16.427,0,control_low
1,9/7/2025 5:30,16.237,0,control_low
1,9/7/2025 5:45,16.141,0,control_low
1,9/7/2025 6:00,16.141,0,control_low
1,9/7/2025 6:15,16.046,0,control_low
1,9/7/2025 6:30,15.951,0,control_low
1,9/7/2025 6:45,15.951,0,control_low
1,9/7/2025 7:00,15.951,0,control_low
1,9/7/2025 7:15,15.951,43.1,control_low
1,9/7/2025 7:30,15.951,53.8,control_low
1,9/7/2025 7:45,15.951,96.9,control_low
1,9/7/2025 8:00,15.951,161.5,control_low
1,9/7/2025 8:15,15.951,322.9,control_low
1,9/7/2025 8:30,16.046,366,control_low
1,9/7/2025 8:45,16.046,366,control_low
1,9/7/2025 9:00,16.046,355.2,control_low
1,9/7/2025 9:15,16.046,635.1,control_low
1,9/7/2025 9:30,16.141,882.6,control_low
1,9/7/2025 9:45,16.332,2927.8,control_low
1,9/7/2025 10:00,16.523,2669.5,control_low
1,9/7/2025 10:15,16.808,3961.1,control_low
1,9/7/2025 10:30,17.094,4650,control_low
1,9/7/2025 10:45,17.379,5338.9,control_low
1,9/7/2025 11:00,17.76,6544.5,control_low
1,9/7/2025 11:15,18.996,24800.2,control_low
1,9/7/2025 11:30,21.76,55111.5,control_low
1,9/7/2025 11:45,23.388,55111.5,control_low
1,9/7/2025 12:00,24.062,57867,control_low
1,9/7/2025 12:15,25.125,52355.9,control_low
1,9/7/2025 12:30,25.319,63378.2,control_low
